References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
"LCD_OUT1, LCD_IN1,",2,PCA-6-LA-40-HL-3 EEZ DIB MCU r1B1:FPC_40,,PCA-6-LA-40-HL-3,Adam Tech,PCA-6-LA-40-HL-3,,,,,
"R2, R1, R49, R48, R47, R46,",6,Resistor,,0805S8J0100T5E,Royal Ohm,0805S8J0100T5E,,,,,
"R3, R12, R57, R16, R13, R14, R15,",7,Resistor,,0805S8J0103T5E,Royal Ohm,0805S8J0103T5E,,,,,
"R4,",1,20K Resistor_SMD:R_0805_2012Metric,,0805S8J0203T5E,Royal Ohm,0805S8J0203T5E,,,,,
"R5,",1,4K7 Resistor_SMD:R_0805_2012Metric,,CQ05S8F4701T5E,,,,,,,
"R8, R7, R6, R9, R11,",5,Resistor,,0805S8J0101T5E,Royal Ohm,0805S8J0101T5E,,,,,
"R20, R23, R21, R22, R17, R18, R19, R35, R32,",9,Resistor,,0805S8J0102T5E,Royal Ohm,0805S8J0102T5E,,,,,
"R24,",1,Resistor,,TC0650B499JT5,Royal Ohm,TC0650B499JT5,,,,,
"R25,",1,Resistor,,,,,,,,,
"R27, R26, R50,",3,Resistor,,0805S8F499JT5E,Royal Ohm,0805S8F499JT5E,,,,,
"R30, R31, R28, R29,",4,Resistor,,CQ06S4J0122T5E,,,,,,,
"R36, R37, R33, R34,",4,Resistor,,1206S4J0301T5E,Royal Ohm,1206S4J0301T5E,,,,,
"R40, R41, R38, R39,",4,Resistor,,0805S8J0122T5E,Royal Ohm,0805S8J0122T5E,,,,,
"R44, R45, R42, R43,",4,Resistor,,0805S8F510KT5E,Royal Ohm,0805S8F510KT5E,,,,,
"R53, R51, R52, R54,",4,Resistor,,1206S4J0102T5E,Royal Ohm,1206S4J0102T5E,,,,,
"R55, R56,",2,Resistor,,,,,,,,,
"TOUCH1,",1,Light emitting diode,,,,,,,,,
"U1,",1,ADS8586S Package_QFP:LQFP-64_10x10mm_P0.5mm,,ADS8586SIPM,Texas Instruments,ADS8586SIPM,296-47110-ND,595ADS8586SIPM,,,2781392
"U2,",1,"2.5V 0.1% 10mA Low Noise Precision Voltage Reference, SO-8",,REF5025AIDR,Texas Instruments,REF5025AIDR,296-39165-6-ND,595REF5025AIDR,,,2542845
"U3,",1,DS90CF364AMTD DS90CF364AMTD:SOP50P800X110-48N,,DS90CF364AMTD,Texas Instruments,DS90CF364AMTD,DS90CF364AMTD-ND,926DS90CF364AMTD,,,
"U4,",1,DS90CF36B DS90CF364AMTD:SOP50P800X110-48N,,DS90CF364AMTD,Texas Instruments,DS90CF364AMTD,DS90CF364AMTD-ND,926DS90CF364AMTD,,,
"U5,",1,"Positive 100mA 30V Linear Regulator, Fixed Output 5V, SO-8",,MC78L05ABDR2G,ON Semiconductor,MC78L05ABDR2G,MC78L05ABDR2GOSDKR-ND,863MC78L05ABDR2G,6889269,,2534293
"U6,",1,THS4032ID EEZ DIB MCU r1B1:SOIC127P600X173-8N,,THS4032ID,Texas Instruments,THS4032ID,296-7525-5-ND,595THS4032ID,6611167,,8453217
"U8, U7,",2,THS4551IDGKT Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm,,THS4551IDGKT,Texas Instruments,THS4551IDGKT,296-44771-1-ND,595THS4551IDGKT,,,2643424RL
"U9,",1,"Negative 100mA -30V Linear Regulator, Fixed Output -5V, SO-8",,MC79L05ABDR2G,ON Semiconductor,MC79L05ABDR2G,MC79L05ABDR2GOSCT-ND,863MC79L05ABDR2G,,,2534290
"ULX3S_L1, ULX3S_R1,",2,"Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,
"ZD1,",1,BZX384-B30.115 EEZ DIB MCU r1B1:SOD323-W,,BZX384-B30.115,Nexperia,"BZX384-B30,115",1727-3649-6-ND,771BZX384B30115,,,2575164
